'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[15:29:39.000 24/07/2074]',26.178,5.470,-52.357,-19.536,26.960,-12.503,-84.396,29.695,-26.960,-49.621,-7.424,0.000,-53.529,-71.893,10.159,31.258,-44.151,-71.502,53.138,-18.364,-59.780,-75.800,10.159
'[15:29:39.004 24/07/2074]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[15:29:39.008 24/07/2074]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[15:29:39.012 24/07/2074]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.781,0.000,0.391
'[15:29:39.016 24/07/2074]',0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.000,0.391,0.000,0.391,0.781,-0.781,1.172,0.391
'[15:29:39.020 24/07/2074]',0.781,1.563,-1.172,-0.391,0.781,0.391,0.000,-0.391,0.391,0.391,0.391,-0.391,0.391,0.000,0.391,-0.391,-0.391,0.391,1.954,-2.735,-0.781,2.735,0.391
'[15:29:39.023 24/07/2074]',0.781,0.781,-1.172,0.781,1.172,0.391,-0.391,0.781,0.000,0.391,0.391,1.172,0.391,0.000,0.391,1.172,0.000,1.172,1.954,-4.298,2.344,1.172,0.391
'[15:29:39.027 24/07/2074]',0.000,-3.516,3.516,1.563,0.000,0.000,0.000,1.954,0.000,0.391,-0.391,1.954,0.391,0.781,-0.391,1.954,0.391,1.172,-2.735,5.079,1.954,-1.563,-0.391
'[15:29:39.031 24/07/2074]',0.000,-1.563,3.516,-0.781,-0.391,0.391,1.172,-0.391,0.391,0.781,0.781,-0.781,0.781,0.781,0.391,-0.781,0.391,0.000,-2.735,8.987,-1.954,-1.954,0.391
'[15:29:39.035 24/07/2074]',0.781,3.907,-3.126,-1.563,0.781,0.391,0.391,-1.563,0.391,0.781,1.563,-2.344,0.781,0.000,1.954,-1.954,-0.391,0.000,3.907,-3.516,-1.563,1.954,1.954
'[15:29:39.039 24/07/2074]',1.172,4.298,-6.252,0.000,1.954,-0.391,-1.563,-1.172,0.000,0.391,0.391,-1.563,0.000,-0.391,0.391,-0.781,-2.735,1.563,7.033,-15.238,-1.563,12.112,0.391
'[15:29:39.043 24/07/2074]',1.563,2.344,-7.033,-6.642,4.689,-0.391,-5.470,-7.814,-0.391,-1.172,1.563,-9.377,1.563,-3.907,0.391,-8.205,-10.159,0.391,7.814,-18.364,-14.066,26.960,0.391
'[15:29:39.047 24/07/2074]',6.252,2.344,-11.722,-5.861,8.205,-2.344,-9.768,-3.907,-3.516,0.781,1.563,-4.689,1.563,-6.252,1.563,-4.298,-12.112,6.642,12.503,-28.913,1.172,14.847,1.563
'[15:29:39.051 24/07/2074]',3.516,-14.066,-4.298,0.000,6.252,-7.033,-14.457,0.391,-6.252,2.735,-1.172,0.000,-1.563,0.000,-3.516,0.000,-16.020,13.284,5.079,-12.503,-1.954,20.317,-3.516
'[15:29:39.055 24/07/2074]',0.781,-32.039,10.940,-4.298,1.563,-8.987,-10.549,-5.079,-7.033,8.205,0.781,-6.642,2.735,1.172,-2.344,-6.642,-20.317,16.410,-10.159,16.020,-5.470,17.973,-2.344
'[15:29:39.059 24/07/2074]',3.126,-2.344,-14.457,-10.940,3.126,-8.987,-7.814,-9.768,-6.642,15.629,6.642,-10.940,4.689,4.689,6.252,-12.503,-18.364,21.880,15.238,-12.894,4.298,8.596,6.252
'[15:29:39.063 24/07/2074]',2.735,-13.675,-13.675,-0.781,0.000,-12.894,-7.033,-4.298,-10.549,19.927,6.642,-7.814,4.689,4.689,7.814,-9.768,-17.192,28.523,14.457,-3.907,-1.172,17.192,7.814
'[15:29:39.066 24/07/2074]',0.391,4.298,-27.350,-2.735,-2.344,-10.940,-3.126,-7.424,-10.940,25.006,9.377,-9.768,9.377,6.252,10.549,-13.675,-16.801,32.821,28.132,-32.821,10.159,26.569,10.549
'[15:29:39.070 24/07/2074]',3.516,12.894,-35.556,-2.344,-3.516,-8.596,-0.781,-5.470,-12.112,29.695,15.629,-13.284,9.768,8.987,16.410,-17.582,-11.331,33.602,36.337,-24.225,7.424,14.457,16.410
'[15:29:39.074 24/07/2074]',3.907,1.172,-27.741,10.159,-5.861,-7.814,0.781,2.344,-17.192,33.602,17.582,-7.424,7.033,14.457,16.410,-12.894,-6.642,39.853,28.523,3.516,6.252,10.159,16.410
'[15:29:39.078 24/07/2074]',3.516,0.391,-31.258,17.582,-8.987,-6.252,3.907,3.126,-18.755,33.993,18.755,-6.252,6.642,24.225,8.205,-12.894,-9.768,46.886,32.039,-3.907,11.722,28.523,8.205
'[15:29:39.082 24/07/2074]',3.126,9.768,-36.728,14.066,-11.722,-1.954,10.549,-4.298,-19.145,36.337,23.053,-12.112,12.894,33.602,0.781,-19.927,-10.549,50.403,37.509,-5.470,17.582,37.118,0.781
'[15:29:39.086 24/07/2074]',3.516,13.284,-38.681,19.145,-14.847,0.391,15.629,-2.344,-25.006,35.556,27.741,-9.377,14.457,29.695,1.563,-18.755,-5.861,55.873,39.463,6.642,22.662,19.536,1.563
'[15:29:39.090 24/07/2074]',-0.781,-1.954,-31.258,30.085,-22.662,-0.391,18.364,1.172,-30.085,31.648,26.569,-3.907,16.020,28.523,-9.377,-10.940,-5.861,63.297,32.039,10.159,29.695,29.304,-9.377
'[15:29:39.094 24/07/2074]',-1.954,8.205,-39.853,30.476,-26.178,1.954,22.271,-0.391,-32.039,34.383,28.132,-6.642,17.192,29.304,-10.940,-10.940,-4.298,67.204,40.635,-8.987,34.774,33.993,-10.940
'[15:29:39.098 24/07/2074]',0.391,-5.470,-25.006,33.211,-25.788,3.907,26.569,-1.172,-33.993,42.589,31.258,-12.112,12.894,28.523,-2.735,-10.940,4.689,69.548,25.788,20.708,28.132,15.629,-2.735
'[15:29:39.102 24/07/2074]',0.000,-25.788,-9.768,45.324,-26.960,2.735,27.741,5.861,-32.821,50.403,28.913,-8.987,13.284,36.728,-5.861,-6.642,12.503,71.893,10.549,44.542,24.615,20.317,-5.861
'[15:29:39.105 24/07/2074]',-1.172,13.284,-37.900,41.026,-21.099,10.940,27.350,-0.391,-24.225,59.780,26.569,-11.722,18.364,47.277,-4.298,-10.940,19.145,67.985,38.681,-13.284,37.900,40.635,-4.298
'[15:29:39.109 24/07/2074]',-0.781,10.159,-30.476,44.933,-17.973,15.238,28.132,-1.172,-17.973,66.813,24.225,-12.112,22.271,51.575,0.781,-14.457,26.569,61.343,31.258,-2.735,41.416,39.853,0.781
'[15:29:39.113 24/07/2074]',-3.516,9.377,-26.569,56.264,-15.629,20.317,23.834,7.033,-13.284,64.860,18.755,-2.735,25.788,51.184,-1.954,-7.814,33.211,58.217,27.350,4.298,46.496,37.509,-1.954
'[15:29:39.117 24/07/2074]',-1.172,16.410,-32.430,62.515,-13.675,24.225,19.927,14.457,-10.940,60.562,12.112,6.642,26.178,50.012,-3.516,-3.907,34.774,55.092,33.211,-16.410,51.184,48.059,-3.516
'[15:29:39.121 24/07/2074]',0.391,7.814,-20.708,64.469,-14.066,27.741,21.490,17.192,-7.424,57.827,10.940,8.987,32.039,44.151,-1.954,-3.516,35.165,48.449,21.490,2.735,44.151,42.589,-1.954
'[15:29:39.125 24/07/2074]',4.298,-3.907,-5.861,64.078,-13.675,28.913,22.271,21.099,-8.596,54.310,12.112,9.768,33.602,48.840,-6.642,-6.642,40.244,42.589,6.642,29.695,42.979,32.821,-6.642
'[15:29:39.129 24/07/2074]',2.735,0.391,-7.814,65.250,-15.629,28.132,21.880,26.569,-9.768,47.277,9.377,20.317,31.648,36.337,-0.781,0.391,41.026,38.681,8.596,8.987,43.761,33.211,-0.781
'[15:29:39.133 24/07/2074]',0.391,5.079,-10.940,67.595,-15.238,26.569,24.225,26.569,-9.768,40.635,8.596,23.834,26.960,28.523,1.563,5.079,40.244,31.258,11.722,-7.033,45.714,31.648,1.563
'[15:29:39.137 24/07/2074]',4.689,-13.284,5.079,67.985,-13.284,22.271,26.569,29.695,-10.549,34.774,9.768,27.741,25.397,25.788,4.689,4.689,44.933,20.708,-4.298,19.536,42.198,15.238,4.689
'[15:29:39.141 24/07/2074]',1.954,2.344,-3.907,71.111,-10.940,19.927,25.397,37.900,-12.112,28.132,5.079,40.244,18.364,16.801,10.159,14.066,47.668,16.410,4.689,2.344,38.681,5.079,10.159
'[15:29:39.145 24/07/2074]',1.172,-5.079,6.252,73.846,-10.159,17.973,26.960,41.026,-8.987,21.880,2.735,43.370,17.973,16.410,5.470,17.973,43.370,13.284,-5.470,0.391,34.383,19.145,5.470
'[15:29:39.148 24/07/2074]',5.861,-7.424,16.801,64.469,-6.252,18.364,30.867,37.118,-5.079,22.271,5.861,41.807,18.755,20.708,9.377,15.238,42.979,7.424,-16.020,13.284,26.960,10.940,9.377
'[15:29:39.152 24/07/2074]',1.172,-2.735,25.788,61.734,-8.987,20.317,33.602,41.026,-5.079,19.536,5.470,48.449,17.582,14.066,12.503,23.443,42.979,7.424,-25.006,21.099,20.708,0.781,12.503
'[15:29:39.156 24/07/2074]',0.391,-7.033,37.118,57.045,-9.377,21.099,35.165,39.853,-5.079,14.847,5.470,52.357,13.284,3.516,16.410,34.774,37.509,12.112,-36.337,11.722,19.927,-1.172,16.410
'[15:29:39.160 24/07/2074]',1.172,-5.079,42.198,48.449,-9.768,23.443,38.681,33.993,-1.172,17.192,6.642,50.012,12.503,5.079,16.801,36.728,34.774,10.940,-41.416,2.344,12.503,5.470,16.801
'[15:29:39.164 24/07/2074]',-0.781,-1.172,52.357,37.118,-12.894,26.178,42.979,30.476,0.391,18.364,8.205,48.059,13.284,3.516,21.880,35.556,38.681,10.549,-51.575,13.284,3.907,-5.079,21.880
'[15:29:39.168 24/07/2074]',-3.126,-6.642,59.389,36.728,-15.629,23.443,41.416,35.946,2.344,16.020,3.907,50.794,11.331,3.516,17.582,39.853,37.509,13.284,-58.608,9.768,7.424,-4.689,17.582
'[15:29:39.172 24/07/2074]',-1.172,-2.735,62.515,29.304,-8.987,24.615,44.151,27.741,12.503,18.755,2.344,41.416,14.457,11.331,14.457,34.383,34.774,9.377,-61.734,-0.781,7.033,10.159,14.457
'[15:29:39.176 24/07/2074]',0.391,5.079,61.343,23.053,-3.126,23.053,50.403,19.927,19.927,22.271,3.907,32.821,16.410,14.847,17.582,28.913,33.211,6.252,-60.562,0.781,5.861,7.424,17.582
'[15:29:39.180 24/07/2074]',-3.907,1.172,60.952,30.867,-1.172,17.973,46.886,25.397,21.880,21.099,0.391,35.165,16.020,15.629,12.894,33.602,30.476,7.424,-60.171,-0.391,21.099,6.252,12.894
'[15:29:39.184 24/07/2074]',-1.954,-8.205,60.562,30.476,3.516,12.112,42.198,21.880,26.178,22.271,-5.861,32.430,12.503,16.801,10.940,33.993,24.225,5.861,-59.780,-4.298,17.192,22.271,10.940
'[15:29:39.188 24/07/2074]',1.954,1.172,54.310,16.801,7.424,12.894,42.589,11.331,31.648,27.350,-6.642,23.053,17.192,16.410,15.629,24.615,23.834,0.781,-53.529,-5.079,11.331,18.755,15.629
'[15:29:39.191 24/07/2074]',2.735,-7.424,63.687,10.159,7.033,12.503,35.556,12.503,32.039,32.430,-12.894,23.053,16.410,21.880,16.020,18.755,23.053,0.391,-62.906,16.410,7.424,11.722,16.020
'[15:29:39.195 24/07/2074]',1.172,-17.582,71.502,1.172,7.424,8.987,26.569,11.331,31.258,33.993,-21.880,21.880,13.284,19.927,14.847,15.629,14.847,1.563,-70.720,17.582,0.391,23.053,14.847
'[15:29:39.199 24/07/2074]',-0.391,12.112,51.184,-8.205,9.768,14.066,23.443,5.079,38.291,39.853,-25.788,18.755,18.755,29.695,13.284,7.033,8.596,2.735,-50.403,-13.284,0.391,36.728,13.284
'[15:29:39.203 24/07/2074]',3.907,5.079,56.264,-14.066,10.159,18.364,17.192,4.298,37.900,42.589,-28.132,17.973,23.053,35.556,9.377,0.781,8.596,3.907,-55.482,5.079,1.563,29.304,9.377
'[15:29:39.207 24/07/2074]',-1.954,2.344,50.012,-11.331,2.344,17.582,8.205,8.987,32.039,39.463,-34.383,25.788,21.880,37.900,1.172,1.954,7.424,7.424,-49.231,2.344,10.940,28.523,1.172
