'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[11:42:54.000 06/11/2076]',-145.739,-104.322,-42.589,-32.821,-170.745,-110.574,12.112,-56.264,-139.096,-1.172,64.078,-14.066,-267.643,57.436,44.933,75.018,-105.885,84.786,43.370,-57.045,-264.518,94.945,44.933
'[11:42:54.004 06/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[11:42:54.008 06/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.391,0.781,0.391,0.391
'[11:42:54.012 06/11/2076]',0.391,0.781,0.391,0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.391,-1.172,-0.391,1.563,0.391,-1.954,0.391,0.391,0.391,-0.391,1.954,0.391,0.391
'[11:42:54.016 06/11/2076]',0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.000,0.391,0.391,1.172,0.391,0.391,0.391,0.781,-1.954,0.391,0.391
'[11:42:54.020 06/11/2076]',1.172,-1.172,1.563,-1.172,0.391,0.391,0.781,-0.781,1.563,0.391,0.781,7.814,4.689,-5.861,0.781,10.940,0.391,0.391,-0.781,5.079,-6.642,-0.391,0.781
'[11:42:54.023 06/11/2076]',0.781,-3.516,3.126,0.000,-0.391,0.781,0.391,0.000,1.954,-0.391,0.391,7.424,4.689,-3.907,0.000,8.596,-0.391,0.000,-2.344,3.907,-0.781,0.391,0.000
'[11:42:54.027 06/11/2076]',-1.563,-0.781,0.391,1.954,-1.172,0.391,-0.781,1.954,-0.781,0.000,-0.391,-5.861,-5.470,7.814,0.000,-10.159,-0.391,0.000,0.391,-4.298,8.596,2.735,0.000
'[11:42:54.031 06/11/2076]',-1.172,3.126,-3.126,1.172,-0.391,-0.781,0.000,1.563,-1.563,0.391,0.391,-9.377,-7.424,7.033,2.344,-12.503,0.391,0.781,3.907,-5.470,1.563,1.172,2.344
