'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8','ECG'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[22:53:33.000 08/07/2079]',-8.205,-19.536,-117.216,-78.144,-145.348,21.099,-75.409,-23.443,-161.368,80.879,-21.880,22.662,1.172,-27.350,38.681,-92.210,43.370,-105.104,117.998,-7.033,-1.954,-12.503,38.681,-956.874
'[22:53:33.004 08/07/2079]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[22:53:33.008 08/07/2079]',0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,1.563
'[22:53:33.012 08/07/2079]',1.563,-0.391,0.391,0.781,1.563,0.391,0.781,0.000,0.391,0.391,0.781,0.391,0.391,0.391,0.391,1.172,0.391,0.781,0.391,0.391,0.391,0.781,0.391,0.000
'[22:53:33.016 08/07/2079]',-1.563,1.954,0.391,-0.391,-0.781,0.391,-0.781,1.954,0.391,0.391,-1.563,0.781,0.391,0.391,0.391,-0.781,0.391,-0.391,0.391,0.391,0.391,0.000,0.391,-5.079
'[22:53:33.020 08/07/2079]',-6.252,5.079,0.781,-1.954,-5.079,0.781,-1.563,3.126,-0.391,1.172,-1.954,0.000,0.781,0.000,0.781,-3.907,1.563,-0.781,0.000,1.172,0.391,-1.172,0.781,-6.252
'[22:53:33.023 08/07/2079]',0.391,0.000,0.781,0.391,-1.563,2.735,2.344,-2.344,-1.172,0.781,4.689,-1.563,0.391,0.391,0.391,0.391,0.781,1.172,0.000,0.391,1.563,0.000,0.391,0.391
'[22:53:33.027 08/07/2079]',9.768,-7.424,0.391,3.907,3.907,2.735,4.689,-5.079,-0.391,0.000,6.642,0.391,0.000,0.391,-0.781,7.033,-0.391,2.735,0.391,-1.172,1.563,1.172,-0.781,6.252
'[22:53:33.031 08/07/2079]',0.781,0.000,0.000,1.563,0.000,-0.391,-1.954,4.689,1.172,0.391,-4.298,3.907,0.000,0.391,0.000,1.563,0.391,-0.391,0.781,0.391,-0.391,0.781,0.000,-1.954
