'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[10:02:37.000 08/07/2079]',163.321,-185.592,-1.954,25.006,9.768,-8.205,3.516,-4.298,-19.145,-14.457,6.252,-19.145,82.442,-85.568,-17.582,-25.788,-31.648,5.470,2.735,8.596,42.589,-8.596,-17.582
'[10:02:37.004 08/07/2079]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[10:02:37.008 08/07/2079]',0.781,0.000,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.000,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[10:02:37.012 08/07/2079]',3.516,-2.735,0.781,1.172,0.781,1.172,0.391,0.000,0.391,0.391,0.391,0.391,3.126,-1.954,0.391,0.391,0.391,0.781,0.000,0.391,0.391,0.391,0.391
'[10:02:37.016 08/07/2079]',-1.954,1.954,0.000,0.391,0.000,-0.391,-0.391,1.563,0.391,0.391,0.000,0.391,-1.172,1.172,0.000,0.391,0.391,0.000,0.781,0.000,0.391,0.391,0.000
'[10:02:37.020 08/07/2079]',-14.847,16.020,-1.172,-3.516,-1.954,-3.907,-0.391,2.735,0.000,0.000,-0.391,0.000,-12.503,12.112,0.000,-0.781,0.781,-1.563,1.954,0.391,0.391,0.391,0.000
'[10:02:37.023 08/07/2079]',-7.033,8.987,0.391,-2.735,0.000,-0.391,1.172,-0.781,1.172,0.391,0.781,0.391,-6.252,8.205,0.781,0.391,0.391,-0.391,0.391,1.954,-0.391,-0.781,0.781
'[10:02:37.027 08/07/2079]',20.708,-20.708,2.735,5.079,4.298,6.252,1.563,-4.689,1.172,0.391,1.954,1.563,16.410,-14.457,0.391,2.735,-0.781,2.735,-1.954,1.563,0.391,-0.781,0.391
'[10:02:37.031 08/07/2079]',16.020,-17.192,1.172,5.470,2.735,2.735,-0.781,0.391,-1.172,-0.391,0.000,0.781,11.722,-14.066,-0.391,1.172,-0.391,1.563,-0.391,-2.344,2.344,1.563,-0.391
